iter	Passed	Remaining
0	54	54565
1	55	27479
2	55	18452
3	55	13935
4	56	11221
5	56	9411
6	57	8126
7	57	7160
8	58	6405
9	58	5801
10	59	5309
11	59	4896
12	59	4543
13	60	4244
14	60	3982
15	61	3759
16	61	3559
17	62	3385
18	62	3226
19	62	3086
20	63	2958
21	63	2841
22	64	2732
23	64	2632
24	65	2543
25	65	2458
26	66	2380
27	66	2308
28	66	2243
29	67	2181
30	67	2123
31	68	2069
32	68	2017
33	69	1969
34	69	1922
35	70	1878
36	70	1836
37	71	1798
38	71	1762
39	71	1727
40	72	1695
41	72	1664
42	73	1634
43	73	1604
44	74	1576
45	74	1549
46	75	1523
47	75	1500
48	76	1479
49	76	1460
50	77	1439
51	77	1418
52	78	1398
53	78	1378
54	79	1358
55	79	1340
56	79	1322
57	80	1307
58	81	1293
59	81	1278
60	82	1262
61	82	1250
62	83	1237
63	83	1224
64	84	1212
65	84	1199
66	85	1187
67	85	1176
68	86	1164
69	86	1154
70	87	1142
71	87	1130
72	88	1119
73	88	1109
74	89	1098
75	89	1087
76	90	1079
77	90	1071
78	91	1063
79	91	1055
80	92	1046
81	92	1037
82	92	1026
83	93	1018
84	93	1010
85	94	1004
86	94	996
87	95	989
88	95	982
89	96	976
90	96	968
91	97	961
92	97	953
93	98	945
94	98	938
95	98	931
96	99	924
97	99	918
98	100	911
99	100	905
100	100	898
101	101	892
102	101	888
103	102	882
104	102	876
105	103	871
106	103	865
107	104	860
108	104	855
109	105	851
110	105	845
111	106	840
112	106	836
113	106	830
114	107	826
115	107	822
116	108	816
117	108	812
118	109	807
119	109	803
120	109	798
121	110	794
122	110	790
123	111	787
124	111	783
125	112	779
126	112	775
127	113	770
128	113	767
129	114	763
130	114	759
131	114	755
132	115	751
133	115	747
134	116	743
135	116	739
136	116	735
137	117	732
138	117	728
139	118	724
140	118	721
141	118	717
142	119	713
143	119	710
144	120	707
145	120	704
146	120	701
147	121	697
148	121	694
149	122	691
150	122	688
151	122	685
152	123	682
153	123	679
154	124	676
155	124	674
156	125	671
157	125	669
158	125	666
159	126	663
160	126	659
161	126	656
162	127	653
163	127	651
164	128	648
165	128	645
166	128	642
167	129	640
168	129	638
169	130	635
170	130	633
171	131	631
172	131	628
173	131	626
174	132	624
175	132	621
176	133	619
177	133	617
178	134	615
179	134	613
180	135	611
181	135	608
182	135	606
183	136	604
184	136	602
185	137	599
186	137	597
187	137	595
188	138	593
189	138	591
190	139	589
191	139	589
192	140	587
193	141	585
194	141	583
195	141	581
196	142	580
197	142	578
198	143	577
199	143	575
200	144	574
201	145	573
202	145	572
203	146	571
204	147	570
205	147	568
206	148	567
207	148	566
208	149	565
209	149	563
210	150	561
211	150	560
212	151	558
213	151	557
214	152	555
215	152	554
216	153	553
217	153	551
218	154	549
219	154	548
220	155	546
221	155	544
222	155	543
223	156	541
224	156	540
225	157	538
226	157	536
227	158	535
228	158	534
229	159	532
230	159	531
231	160	529
232	160	528
233	160	526
234	161	525
235	161	524
236	162	523
237	163	522
238	163	520
239	163	518
240	164	517
241	164	516
242	165	514
243	165	513
244	166	511
245	166	510
246	166	508
247	167	507
248	167	505
249	168	504
250	168	503
251	169	501
252	169	500
253	169	498
254	170	497
255	170	495
256	171	495
257	172	494
258	173	495
259	173	494
260	174	493
